game,genre,category,date,time_seconds,run_id,is_wr
Celeste,Platformer,Any%,2018-01-26,7537,y8qp1vny,True
Celeste,Platformer,Any%,2018-01-26,7965.979,yl9x0q3y,False
Celeste,Platformer,Any%,2018-01-26,3584,yl9xk42y,True
Celeste,Platformer,Any%,2018-01-26,9975.974,y45lwwqm,False
Celeste,Platformer,Any%,2018-01-26,4092.41,yl9x42xy,False
Celeste,Platformer,Any%,2018-01-27,4223.769,y8qp27xy,False
Celeste,Platformer,Any%,2018-01-27,3734.645,zgnovnjy,False
Celeste,Platformer,Any%,2018-01-27,3459,yl9xvq3y,True
Celeste,Platformer,Any%,2018-01-27,10399.801,zpqxld8y,False
Celeste,Platformer,Any%,2018-01-27,7974.649,zpqxl6gy,False
Celeste,Platformer,Any%,2018-01-27,3307,zn8x3g3z,True
Celeste,Platformer,Any%,2018-01-27,4730,zgnoxx0y,False
Celeste,Platformer,Any%,2018-01-27,3288.123,zn8xoe8z,True
Celeste,Platformer,Any%,2018-01-27,5852,mk41g2ly,False
Celeste,Platformer,Any%,2018-01-28,5235.864,mk4186xy,False
Celeste,Platformer,Any%,2018-01-28,5434.152,zpqx3w8y,False
Celeste,Platformer,Any%,2018-01-28,6623,mrqx4pgy,False
Celeste,Platformer,Any%,2018-01-28,3766.911,z0eqrrjm,False
Celeste,Platformer,Any%,2018-01-28,4334,zxvxgogy,False
Celeste,Platformer,Any%,2018-01-28,3764.497,yo4x7rjm,False
Celeste,Platformer,Any%,2018-01-28,5005,zxvxgp5y,False
Celeste,Platformer,Any%,2018-01-28,4273.29,yo4x6v0m,False
Celeste,Platformer,Any%,2018-01-28,7627.611,ydqleqxm,False
Celeste,Platformer,Any%,2018-01-28,3676.012,zgnorwjy,False
Celeste,Platformer,Any%,2018-01-28,3352,zgnorpny,False
Celeste,Platformer,Any%,2018-01-28,3104.761,zq6qv78y,True
Celeste,Platformer,Any%,2018-01-29,2993,mrqxn44y,True
Celeste,Platformer,Any%,2018-01-29,4008,yjk9593m,False
Celeste,Platformer,Any%,2018-01-29,3091.45,yl9xrgny,False
Celeste,Platformer,Any%,2018-01-29,2853,zpqx2nxy,True
Celeste,Platformer,Any%,2018-01-29,3639.241,y45l8e2m,False
Celeste,Platformer,Any%,2018-01-29,5792.988,yw1xjj2z,False
Celeste,Platformer,Any%,2018-01-29,3153,zpqx268y,False
Celeste,Platformer,Any%,2018-01-29,4162,y8qpjl1y,False
Celeste,Platformer,Any%,2018-01-29,2947.88,mekgj53m,False
Celeste,Platformer,Any%,2018-01-29,4058.206,yjk9pjdm,False
Celeste,Platformer,Any%,2018-01-29,3265.683,m3dj3odz,False
Celeste,Platformer,Any%,2018-01-29,5480,y23we57m,False
Celeste,Platformer,Any%,2018-01-30,14812,y97dv5rm,False
Celeste,Platformer,Any%,2018-01-30,5440,z5og28ey,False
Celeste,Platformer,Any%,2018-01-30,2781,y23wpw6m,True
Celeste,Platformer,Any%,2018-01-30,4931,mk41kovy,False
Celeste,Platformer,Any%,2018-01-30,4484,m79ox14y,False
Celeste,Platformer,Any%,2018-01-30,3660,y8qpx2dy,False
Celeste,Platformer,Any%,2018-01-30,4193,yvgx068y,False
Celeste,Platformer,Any%,2018-01-30,4206.15,yl9x1r2y,False
Celeste,Platformer,Any%,2018-01-30,3865,zpqxd58y,False
Celeste,Platformer,Any%,2018-01-30,4009,zn8xqn3z,False
Celeste,Platformer,Any%,2018-01-30,4280.362,z0eqjeem,False
Celeste,Platformer,Any%,2018-01-31,4576,zxvx80qy,False
Celeste,Platformer,Any%,2018-01-31,3467,m3djxvwz,False
Celeste,Platformer,Any%,2018-01-31,5153,z5ogxngy,False
Celeste,Platformer,Any%,2018-01-31,5985,yw1x670z,False
Celeste,Platformer,Any%,2018-01-31,3205,zq6qekxy,False
Celeste,Platformer,Any%,2018-01-31,6819,yvgx8joy,False
Celeste,Platformer,Any%,2018-01-31,3349.289,mk41v5ly,False
Celeste,Platformer,Any%,2018-01-31,4284,zpqxg8vy,False
Celeste,Platformer,Any%,2018-01-31,2601.476,y67eonqm,True
Celeste,Platformer,Any%,2018-01-31,3906.396,m3djljqz,False
Celeste,Platformer,Any%,2018-01-31,3280.15,y97d8okm,False
Celeste,Platformer,Any%,2018-01-31,4134.808,m79o0g4y,False
Celeste,Platformer,Any%,2018-01-31,5165.178,y23wgd5m,False
Celeste,Platformer,Any%,2018-01-31,2988,yjk921om,False
Celeste,Platformer,Any%,2018-01-31,2985.421,zgnoegjy,False
Celeste,Platformer,Any%,2018-01-31,5862,ydqljl0m,False
Celeste,Platformer,Any%,2018-01-31,3558.355,z13nl6rm,False
Celeste,Platformer,Any%,2018-01-31,3643.916,y67e2j1m,False
Celeste,Platformer,Any%,2018-02-01,4666.687,y45lokqm,False
Celeste,Platformer,Any%,2018-02-01,5287,m79o0lwy,False
Celeste,Platformer,Any%,2018-02-01,3633.75,zn8xv58z,False
Celeste,Platformer,Any%,2018-02-01,5847.235,mk410rvy,False
Celeste,Platformer,Any%,2018-02-01,3165.332,zpqxwj8y,False
Celeste,Platformer,Any%,2018-02-01,2886,y8qp675y,False
Celeste,Platformer,Any%,2018-02-01,2515.201,zpqxw7gy,True
Celeste,Platformer,Any%,2018-02-01,3795,m79o0rey,False
Celeste,Platformer,Any%,2018-02-01,3307.078,z5ogk5ny,False
Celeste,Platformer,Any%,2018-02-01,8369.202,ydql2qjm,False
Celeste,Platformer,Any%,2018-02-01,3549.532,zgno8wey,False
Celeste,Platformer,Any%,2018-02-01,3472.029,yvgxvo8y,False
Celeste,Platformer,Any%,2018-02-01,3129,zq6qdd9y,False
