game,genre,category,wr_number,wr_set_date,wr_broken_date,duration_days,decade,time_seconds
Celeste,Platformer,Any%,1,2018-01-26,2018-01-26,0,2010s,7537
Celeste,Platformer,Any%,2,2018-01-26,2018-01-27,1,2010s,3584
Celeste,Platformer,Any%,3,2018-01-27,2018-01-27,0,2010s,3459
Celeste,Platformer,Any%,4,2018-01-27,2018-01-27,0,2010s,3307
Celeste,Platformer,Any%,5,2018-01-27,2018-01-28,1,2010s,3288.123
Celeste,Platformer,Any%,6,2018-01-28,2018-01-29,1,2010s,3104.761
Celeste,Platformer,Any%,7,2018-01-29,2018-01-29,0,2010s,2993
Celeste,Platformer,Any%,8,2018-01-29,2018-01-30,1,2010s,2853
Celeste,Platformer,Any%,9,2018-01-30,2018-01-31,1,2010s,2781
Celeste,Platformer,Any%,10,2018-01-31,2018-02-01,1,2010s,2601.476
Celeste,Platformer,Any%,11,2018-02-01,2018-02-02,1,2010s,2515.201
Celeste,Platformer,Any%,12,2018-02-02,2018-02-03,1,2010s,2432.734
Celeste,Platformer,Any%,13,2018-02-03,2018-02-04,1,2010s,2390.302
Celeste,Platformer,Any%,14,2018-02-04,2018-02-06,2,2010s,2370.667
Celeste,Platformer,Any%,15,2018-02-06,2018-02-09,3,2010s,2340.407
Celeste,Platformer,Any%,16,2018-02-09,2018-02-09,0,2010s,2336.344
Celeste,Platformer,Any%,17,2018-02-09,2018-02-10,1,2010s,2294.949
Celeste,Platformer,Any%,18,2018-02-10,2018-02-12,2,2010s,2281.264
Celeste,Platformer,Any%,19,2018-02-12,2018-02-13,1,2010s,2274.141
Celeste,Platformer,Any%,20,2018-02-13,2018-02-14,1,2010s,2260.983
Celeste,Platformer,Any%,21,2018-02-14,2018-02-16,2,2010s,2212.397
Celeste,Platformer,Any%,22,2018-02-16,2018-02-20,4,2010s,2189.413
Celeste,Platformer,Any%,23,2018-02-20,2018-02-20,0,2010s,2174.946
Celeste,Platformer,Any%,24,2018-02-20,2018-02-23,3,2010s,2140.912
Celeste,Platformer,Any%,25,2018-02-23,2018-02-25,2,2010s,2132.922
Celeste,Platformer,Any%,26,2018-02-25,2018-02-26,1,2010s,2120.087
Celeste,Platformer,Any%,27,2018-02-26,2018-02-27,1,2010s,2115.123
Celeste,Platformer,Any%,28,2018-02-27,2018-03-01,2,2010s,2079.474
Celeste,Platformer,Any%,29,2018-03-01,2018-03-04,3,2010s,2062.372
Celeste,Platformer,Any%,30,2018-03-04,2018-03-06,2,2010s,2050.319
Celeste,Platformer,Any%,31,2018-03-06,2018-03-07,1,2010s,2046.392
Celeste,Platformer,Any%,32,2018-03-07,2018-03-09,2,2010s,2032.316
Celeste,Platformer,Any%,33,2018-03-09,2018-03-12,3,2010s,2014.058
Celeste,Platformer,Any%,34,2018-03-12,2018-03-19,7,2010s,2013.616
Celeste,Platformer,Any%,35,2018-03-19,2018-03-21,2,2010s,2001.886
Celeste,Platformer,Any%,36,2018-03-21,2018-03-22,1,2010s,1984.937
Celeste,Platformer,Any%,37,2018-03-22,2018-03-23,1,2010s,1973.53
Celeste,Platformer,Any%,38,2018-03-23,2018-04-01,9,2010s,1963.993
Celeste,Platformer,Any%,39,2018-04-01,2018-04-08,7,2010s,1944.018
Celeste,Platformer,Any%,40,2018-04-08,2018-04-20,12,2010s,1919.181
